Wavelength,Total PE,Total PE stdev,PE mz 56.0,PE mz 56.0 stdev,PE mz 115.0,PE mz 115.0 stdev,PE mz 130.0,PE mz 130.0 stdev,PE mz 140.0,PE mz 140.0 stdev,PE mz 142.0,PE mz 142.0 stdev,PE mz 154.0,PE mz 154.0 stdev,PE mz 157.0,PE mz 157.0 stdev,PE mz 168.0,PE mz 168.0 stdev,PE mz 171.0,PE mz 171.0 stdev,PE mz 181.0,PE mz 181.0 stdev,PE mz 183.0,PE mz 183.0 stdev,PE mz 185.0,PE mz 185.0 stdev,PE mz 199.0,PE mz 199.0 stdev,PE mz 209.0,PE mz 209.0 stdev
400.000000,63.693189,17.164741,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232,5.642488,3.288232
402.000000,39.454435,11.966206,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866,3.202707,2.016866
404.000000,33.322844,10.722025,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450,2.676778,2.112450
406.000000,35.007799,11.352670,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812,3.002820,2.116812
408.000000,35.894447,7.596558,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066,3.204643,1.582066
410.000000,48.916531,11.860614,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559,5.358146,3.281559
412.000000,50.507622,10.525950,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972,5.677580,2.842972
414.000000,59.341463,14.137373,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203,7.054333,3.763203
416.000000,71.528767,17.622369,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215,9.971960,7.950215
418.000000,77.610174,18.637136,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996,11.700151,7.294996
420.000000,88.695010,20.116214,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585,14.936057,9.883585
422.000000,88.258813,21.572669,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245,15.974054,11.024245
424.000000,114.475443,30.237049,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827,26.473321,18.581827
426.000000,106.627864,28.455270,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457,22.833526,15.173457
428.000000,117.019382,34.834982,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439,26.561765,20.797439
430.000000,134.751440,41.544327,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524,33.503569,27.827524
432.000000,123.010898,39.977616,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737,29.954269,26.650737
434.000000,134.318796,40.218069,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150,33.266080,26.881150
